sign,site,n_words,init_obs,init_p,init_sig,final_obs,final_p,final_sig
RE,Khania,120,2,0.93906,0,5,0.3037,0
RE,Knossos,61,0,1.0,0,2,0.07393,0
RE,Palaikastro,57,1,0.93307,0,5,0.01798,1
RE,Phaistos,58,0,1.0,0,3,0.08292,0
RE,Syme,21,0,1.0,0,0,1.0,0
RE,Tylissos,21,0,1.0,0,0,1.0,0
RE,Zakros,132,0,1.0,0,8,0.10589,0
RI,Arkhalkhori,34,0,1.0,0,1,0.4975,0
RI,Haghia Triada,694,8,0.97702,0,7,0.98801,0
RI,Iouktas,34,0,1.0,0,0,1.0,0
RI,Khania,120,1,0.75325,0,1,0.73227,0
RI,Knossos,61,0,1.0,0,0,1.0,0
RI,Palaikastro,57,0,1.0,0,1,0.56843,0
RI,Phaistos,58,1,0.998,0,5,0.35964,0
RI,Syme,21,0,1.0,0,0,1.0,0
RI,Tylissos,21,0,1.0,0,0,1.0,0
RI,Zakros,132,0,1.0,0,3,0.11489,0
RO,Arkhalkhori,34,0,1.0,0,2,0.11489,0
RO,Haghia Triada,694,2,1.0,0,66,0.001,1
RO,Iouktas,34,0,1.0,0,0,1.0,0
RO,Khania,120,0,1.0,0,4,0.05994,0
RO,Knossos,61,1,0.50549,0,0,1.0,0
RO,Palaikastro,57,0,1.0,0,0,1.0,0
RO,Phaistos,58,1,0.73526,0,1,0.72727,0
RO,Syme,21,1,0.47552,0,0,1.0,0
RO,Tylissos,21,0,1.0,0,0,1.0,0
RO,Zakros,132,1,0.85315,0,2,0.48951,0
RU,Arkhalkhori,34,1,0.48851,0,0,1.0,0
