source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser,adjudicated_agree
HTtexts,HT 154A,Haghia Triada,tablet,.4,854,TA,,6,,0,1,0,0,A,1
misctexts,KH 55,Khania,tablet,.3,165,,,3,,0,1,0,0,A,1
misctexts,KH 26,Khania,tablet,.1,140,VIR,,60,,0,1,0,0,A,1
HTtexts,HT 107,Haghia Triada,tablet,.3,611,TE,,86,,0,0,0,0,A,1
HTtexts,HT 58,Haghia Triada,tablet,.3,375,OLIV,,41,,0,0,0,0,A,1
misctexts,MA 4,Malia,lame,b.1,234,,,160,,0,1,0,0,A,1
HTtexts,HT 44,Haghia Triada,tablet,b.2,312,,,5,,0,1,0,0,A,1
misctexts,KH 8,Khania,tablet,.3,74,GRA,,,J,0,1,0,0,A,1
misctexts,TY 3,Tylissos,tablet,b.4,373,,,220,,0,1,0,0,A,1
HTtexts,HT 106,Haghia Triada,tablet,.4,609,SI,,3,,0,1,0,0,A,1
HTtexts,HT 91,Haghia Triada,tablet,.5,470,,,3,E,0,1,0,0,A,1
misctexts,KH 13,Khania,tablet,.5,109,,,3,,0,1,0,0,A,1
HTtexts,HT 130,Haghia Triada,tablet,.1,796,SI,,3,,0,1,0,0,A,1
HTtexts,HT 105,Haghia Triada,tablet,.2,603,VIR,,234,,0,1,0,0,A,1
misctexts,ARKH 5,Arkhanes,tablet,.2,33,,,7,,0,1,0,0,A,1
HTtexts,HT 6,Haghia Triada,tablet,a.7,29,FIC,,15,J,0,0,0,0,A,1
HTtexts,HT 24,Haghia Triada,tablet,a.2,163,,,6,,0,1,0,0,A,1
misctexts,KH 94,Khania,tablet,.2,212,,,17,,0,1,0,0,A,1
misctexts,KH 7,Khania,tablet,a.2,58,I,*303+E *626,,K,0,1,0,0,A,1
HTtexts,HT 97,Haghia Triada,tablet,a.5,541,KI,,3,,0,0,0,0,A,1
HTtexts,HT 97,Haghia Triada,tablet,a.5,542,ZU,,5,,0,1,0,0,A,1
